,availibility,date,listing_id,rate
0,False,2016-05-01,5396686,120.0
1,False,2016-05-02,5396686,120.0
2,False,2016-05-03,5396686,120.0
3,False,2016-05-04,5396686,120.0
4,False,2016-05-05,5396686,120.0
5,False,2016-05-06,5396686,117.0
6,False,2016-05-07,5396686,117.0
7,True,2016-05-08,5396686,75.0
8,True,2016-05-09,5396686,75.0
9,False,2016-05-10,5396686,115.0
10,False,2016-05-11,5396686,115.0
11,False,2016-05-12,5396686,99.0
12,False,2016-05-13,5396686,99.0
13,False,2016-05-14,5396686,122.0
14,False,2016-05-15,5396686,110.0
15,False,2016-05-16,5396686,101.0
16,False,2016-05-17,5396686,101.0
17,False,2016-05-18,5396686,101.0
18,False,2016-05-19,5396686,118.0
19,False,2016-05-20,5396686,122.0
20,False,2016-05-21,5396686,122.0
21,False,2016-05-22,5396686,95.0
22,False,2016-05-23,5396686,95.0
23,False,2016-05-24,5396686,95.0
24,False,2016-05-25,5396686,115.0
25,False,2016-05-26,5396686,115.0
26,False,2016-05-27,5396686,115.0
27,False,2016-05-28,5396686,120.0
28,False,2016-05-29,5396686,110.0
29,False,2016-05-30,5396686,101.0
30,False,2016-05-31,5396686,101.0
31,False,2016-06-01,5396686,107.0
32,False,2016-06-02,5396686,89.0
33,False,2016-06-03,5396686,95.0
34,False,2016-06-04,5396686,115.0
35,False,2016-05-29,5396686,110.0
36,False,2016-05-30,5396686,101.0
37,False,2016-05-31,5396686,101.0
38,False,2016-06-01,5396686,107.0
39,False,2016-06-02,5396686,89.0
40,False,2016-06-03,5396686,95.0
41,False,2016-06-04,5396686,115.0
42,False,2016-06-05,5396686,115.0
43,False,2016-06-06,5396686,115.0
44,False,2016-06-07,5396686,115.0
45,False,2016-06-08,5396686,115.0
46,False,2016-06-09,5396686,115.0
47,False,2016-06-10,5396686,122.0
48,False,2016-06-11,5396686,122.0
49,False,2016-06-12,5396686,115.0
50,False,2016-06-13,5396686,111.0
51,False,2016-06-14,5396686,95.0
52,False,2016-06-15,5396686,95.0
53,False,2016-06-16,5396686,103.0
54,False,2016-06-17,5396686,115.0
55,False,2016-06-18,5396686,115.0
56,False,2016-06-19,5396686,95.0
57,False,2016-06-20,5396686,99.0
58,False,2016-06-21,5396686,99.0
59,False,2016-06-22,5396686,115.0
60,False,2016-06-23,5396686,115.0
61,False,2016-06-24,5396686,115.0
62,False,2016-06-25,5396686,108.0
63,False,2016-06-26,5396686,105.0
64,False,2016-06-27,5396686,105.0
65,False,2016-06-28,5396686,99.0
66,False,2016-06-29,5396686,99.0
67,False,2016-06-30,5396686,115.0
68,False,2016-07-01,5396686,122.0
69,False,2016-07-02,5396686,122.0
70,False,2016-06-26,5396686,105.0
71,False,2016-06-27,5396686,105.0
72,False,2016-06-28,5396686,99.0
73,False,2016-06-29,5396686,99.0
74,False,2016-06-30,5396686,115.0
75,False,2016-07-01,5396686,122.0
76,False,2016-07-02,5396686,122.0
77,False,2016-07-03,5396686,122.0
78,False,2016-07-04,5396686,115.0
79,False,2016-07-05,5396686,115.0
80,False,2016-07-06,5396686,115.0
81,False,2016-07-07,5396686,100.0
82,False,2016-07-08,5396686,118.0
83,False,2016-07-09,5396686,118.0
84,False,2016-07-10,5396686,115.0
85,False,2016-07-11,5396686,115.0
86,True,2016-07-12,5396686,89.0
87,True,2016-07-13,5396686,100.0
88,True,2016-07-14,5396686,100.0
