beds,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
2,False,8,4,26374450,37.76390191134558,12173458,-122.42266660572524,4,222,4,Entire home/apt,4.5
2,False,9,4,54892114,37.791003478596835,10633441,-122.4085049290947,4,195,3,Entire home/apt,5.0
3,True,10,4,42509574,37.77218310072899,8084858,-122.41205744101987,4,500,8,Entire home/apt,4.0
2,False,11,4,8676376,37.727215892301516,12151600,-122.4195123348258,4,176,14,Entire home/apt,4.5
3,True,12,4,7301895,37.775496579112236,10468747,-122.41828734210371,4,1999,0,Entire home/apt,0.0
2,False,13,4,2488180,37.75991138550237,937842,-122.4106486486969,4,200,142,Entire home/apt,4.5
2,True,14,4,5721831,37.776559171748694,6261758,-122.42238712733223,4,165,59,Entire home/apt,4.5
2,False,15,4,713079,37.77797616979985,7956253,-122.43372263774575,4,175,6,Entire home/apt,4.5
4,False,16,4,11919839,37.76204574066321,7134576,-122.46934859419383,4,380,19,Entire home/apt,5.0
2,False,17,4,2345833,37.78752583248788,2166328,-122.4404658714918,4,225,16,Entire home/apt,4.5
2,False,18,4,16933260,37.77390863810561,3481025,-122.47972097604487,4,204,109,Entire home/apt,4.5
3,False,1,4,3273603,37.77358049034084,1738415,-122.42806372501764,5,250,180,Entire home/apt,5.0
2,True,2,4,8097561,37.795763392781105,9605720,-122.40737678778746,5,349,24,Entire home/apt,4.5
2,False,3,4,8749573,37.78054107530683,9531201,-122.40462265739481,5,250,5,Entire home/apt,5.0
1,True,4,4,4925259,37.738849303105894,10943827,-122.43594128017625,5,164,31,Entire home/apt,5.0
3,False,5,4,7303214,37.7285684876501,1510363,-122.45214928203588,5,150,124,Entire home/apt,5.0
2,False,6,4,2641561,37.75347337119139,7309656,-122.41939566210621,5,295,11,Entire home/apt,4.5
2,False,7,4,5214776,37.74019341368586,11390565,-122.4136537927652,5,145,4,Entire home/apt,5.0
2,False,8,4,2501567,37.71846884869995,2119773,-122.45181280070824,5,200,102,Entire home/apt,5.0
