,beds,can_instant_book,guests,host_id,latitude,listing_id,longitude,rate,reviews_count,room_type,star_rating
88,2,False,4,22623861,29.80544330838351,11737757,-95.37760365269207,99,8,Entire home/apt,5.0
89,5,True,4,13775568,29.73826189570025,6016411,-95.3838382164515,117,22,Entire home/apt,5.0
90,3,False,4,73660203,30.005732921606985,13175517,-95.56303424434505,100,1,Entire home/apt,0.0
91,2,True,4,78929406,29.908255974468197,13623600,-95.6251897906981,77,0,Entire home/apt,0.0
92,4,False,4,33059848,29.71073145781699,6347408,-95.3825119628851,229,10,Entire home/apt,5.0
93,3,False,4,70984023,29.803373938124032,12930665,-95.36961055856446,100,4,Entire home/apt,5.0
94,3,True,4,2295596,29.72191292134636,9594856,-95.37205652982232,205,10,Entire home/apt,5.0
95,3,True,4,50408582,29.74497980695647,13252016,-95.3585018100659,350,0,Entire home/apt,0.0
96,6,True,4,38244942,29.730531312461803,12141785,-95.36952978225004,89,8,Entire home/apt,5.0
97,2,True,4,34939565,29.740830366990977,6675730,-95.36832682604225,200,5,Entire home/apt,4.5
98,4,False,4,41455816,29.743559929320416,8035996,-95.59185091934293,179,19,Entire home/apt,4.5
99,3,False,4,63534433,29.763710840838034,11909656,-95.39101948268807,350,2,Entire home/apt,0.0
100,3,False,4,58374914,29.677063405485736,11361001,-95.39548397269873,125,15,Entire home/apt,4.5
101,2,False,4,25863992,29.780293285582427,12423979,-95.39397916894629,180,7,Entire home/apt,5.0
102,2,False,4,50235330,29.728793300541813,9736597,-95.56707412589634,95,5,Entire home/apt,5.0
103,3,False,4,12558835,29.805655505532762,13076838,-95.50820639177651,95,4,Entire home/apt,4.5
104,2,True,4,51661745,29.750390425696338,11337029,-95.40690888932117,180,7,Entire home/apt,4.5
105,2,False,4,59451381,29.7594016298795,12110254,-95.36889546291142,250,5,Entire home/apt,5.0
106,4,True,4,69526932,29.597878850451966,12778309,-95.61111197457429,150,7,Entire home/apt,4.5
107,1,False,4,73688158,29.678768804608058,13203164,-95.39610964147936,84,2,Entire home/apt,0.0
108,2,False,4,66265535,29.773570019421573,12367616,-95.39490424688923,150,3,Entire home/apt,4.5
109,2,True,4,34773668,29.745919257607127,6894919,-95.50333122612307,120,6,Entire home/apt,4.5
110,1,False,4,25466830,29.69661508946299,6129785,-95.4016619222037,108,5,Entire home/apt,4.5
111,1,True,4,437750,29.748511648136766,9330587,-95.37315515129731,141,10,Entire home/apt,4.5
112,2,False,4,47061837,29.746662697103634,9012879,-95.38452630975229,159,14,Entire home/apt,5.0
113,4,False,4,71531480,29.733178757330798,12987054,-95.39891173632152,150,0,Entire home/apt,0.0
114,2,False,4,41416477,29.774188504093125,7858699,-95.5995033574138,85,31,Entire home/apt,4.5
115,3,False,4,50085529,29.96169258657649,13359302,-95.16173045711263,100,0,Entire home/apt,0.0
116,3,True,4,72193320,29.601370226758572,13046540,-95.3816363018569,57,0,Entire home/apt,0.0
117,2,False,4,60958018,29.73297911400428,11548310,-95.43201147769189,140,3,Entire home/apt,4.0
118,1,False,4,5415332,29.75115166454115,11022510,-95.35359217394891,139,19,Entire home/apt,5.0
119,3,False,4,34039857,29.652727112533906,9095357,-95.48468684851161,150,12,Entire home/apt,5.0
120,3,False,4,38075798,29.88507539846023,7272375,-95.5414672034174,145,38,Entire home/apt,5.0
121,1,False,4,38457342,29.74686165367564,7340778,-95.39874764389693,105,65,Entire home/apt,5.0
122,4,True,4,11939080,29.791603896710956,6561281,-95.47441081244695,295,26,Entire home/apt,5.0
123,4,False,4,6197475,29.765289810003114,11080936,-95.37526229295169,179,16,Entire home/apt,5.0
124,3,False,4,24620731,29.732976599735903,5210642,-95.38867431935861,149,48,Entire home/apt,5.0
125,2,True,4,62265772,29.728102495278474,11712478,-95.4664553024021,195,6,Entire home/apt,5.0
126,1,True,4,10216006,29.749105316050375,12744540,-95.37758893082508,135,1,Entire home/apt,0.0
127,2,False,4,21326718,29.741909743877155,13278310,-95.41582574404762,92,3,Entire home/apt,5.0
128,3,True,4,2295596,29.72191292134636,9594856,-95.37205652982232,205,10,Entire home/apt,5.0
129,1,True,4,437750,29.748511648136766,9330587,-95.37315515129731,141,10,Entire home/apt,4.5
130,2,False,4,22924046,29.74466440467184,5250771,-95.4039690558919,129,64,Entire home/apt,5.0
131,2,True,4,73862488,29.730204911840048,13193307,-95.46373281225922,135,3,Entire home/apt,5.0
132,1,True,4,10216006,29.732385626221888,9138540,-95.437420577865,140,0,Entire home/apt,0.0
133,3,False,4,64975837,29.722195253655038,12113975,-95.3717161784659,247,1,Entire home/apt,0.0
134,2,False,4,58019436,29.75486699280211,11200315,-95.34528933238227,500,0,Entire home/apt,0.0
135,2,False,4,69298687,29.67632788231754,13479042,-95.39420513564527,129,1,Entire home/apt,0.0
136,2,True,4,53308378,29.768533848226102,11141925,-95.38152194395835,95,8,Entire home/apt,4.5
137,6,False,4,37964646,29.782749450604395,8700230,-95.38274423411411,244,8,Entire home/apt,4.5
138,3,True,4,19352015,29.75737042110737,11994217,-95.37925619659097,235,1,Entire home/apt,0.0
139,2,True,4,10216006,29.696075663687424,12468802,-95.38573207007907,165,3,Entire home/apt,5.0
140,2,False,4,12790792,29.765870035245356,11637791,-95.42103562789407,179,1,Entire home/apt,0.0
141,2,True,4,34939565,29.740830366990977,6675730,-95.36832682604225,200,5,Entire home/apt,4.5
142,1,False,4,3563613,29.72982160562748,695990,-95.44190102928577,179,88,Entire home/apt,5.0
143,1,False,4,21054717,29.70080330215661,9972401,-95.41852264193575,120,2,Entire home/apt,0.0
