availability,date,listing_id,rate
False,2016-05-29,13547144,119.0
False,2016-05-30,13547144,119.0
False,2016-05-31,13547144,119.0
False,2016-06-01,13547144,119.0
False,2016-06-02,13547144,119.0
False,2016-06-03,13547144,119.0
False,2016-06-04,13547144,119.0
False,2016-06-05,13547144,119.0
False,2016-06-06,13547144,119.0
False,2016-06-07,13547144,119.0
False,2016-06-08,13547144,119.0
False,2016-06-09,13547144,119.0
False,2016-06-10,13547144,119.0
False,2016-06-11,13547144,119.0
False,2016-06-12,13547144,119.0
False,2016-06-13,13547144,119.0
False,2016-06-14,13547144,119.0
False,2016-06-15,13547144,110.0
False,2016-06-16,13547144,110.0
False,2016-06-17,13547144,110.0
False,2016-06-18,13547144,110.0
False,2016-06-19,13547144,110.0
False,2016-06-20,13547144,110.0
False,2016-06-21,13547144,110.0
True,2016-06-22,13547144,110.0
True,2016-06-23,13547144,110.0
True,2016-06-24,13547144,110.0
False,2016-06-25,13547144,124.0
False,2016-06-26,13547144,110.0
True,2016-06-27,13547144,123.0
False,2016-06-28,13547144,110.0
False,2016-06-29,13547144,110.0
False,2016-06-30,13547144,110.0
False,2016-07-01,13547144,110.0
False,2016-07-02,13547144,150.0
False,2016-07-03,13547144,136.0
False,2016-07-04,13547144,110.0
False,2016-07-05,13547144,110.0
False,2016-07-06,13547144,110.0
False,2016-07-07,13547144,112.0
False,2016-07-08,13547144,128.0
False,2016-07-09,13547144,129.0
False,2016-07-10,13547144,110.0
False,2016-07-11,13547144,118.0
False,2016-07-12,13547144,119.0
False,2016-07-13,13547144,110.0
False,2016-07-14,13547144,110.0
False,2016-07-15,13547144,120.0
False,2016-07-16,13547144,133.0
False,2016-07-17,13547144,110.0
False,2016-07-18,13547144,110.0
False,2016-07-19,13547144,110.0
False,2016-07-20,13547144,112.0
False,2016-07-21,13547144,131.0
False,2016-07-22,13547144,140.0
False,2016-07-23,13547144,148.0
False,2016-07-24,13547144,115.0
False,2016-07-25,13547144,113.0
False,2016-07-26,13547144,110.0
False,2016-07-27,13547144,110.0
False,2016-07-28,13547144,110.0
False,2016-07-29,13547144,112.0
False,2016-07-30,13547144,122.0
False,2016-07-31,13547144,110.0
False,2016-08-01,13547144,110.0
False,2016-08-02,13547144,114.0
False,2016-08-03,13547144,114.0
False,2016-08-04,13547144,113.0
False,2016-08-05,13547144,123.0
False,2016-08-06,13547144,128.0
False,2016-08-07,13547144,118.0
False,2016-08-08,13547144,115.0
False,2016-08-09,13547144,115.0
False,2016-08-10,13547144,116.0
False,2016-08-11,13547144,114.0
False,2016-08-12,13547144,122.0
False,2016-08-13,13547144,126.0
False,2016-08-14,13547144,117.0
False,2016-08-15,13547144,116.0
False,2016-08-16,13547144,115.0
False,2016-08-17,13547144,114.0
False,2016-08-18,13547144,115.0
False,2016-08-19,13547144,121.0
False,2016-08-20,13547144,127.0
False,2016-08-21,13547144,118.0
False,2016-08-22,13547144,115.0
False,2016-08-23,13547144,115.0
False,2016-08-24,13547144,115.0
False,2016-08-25,13547144,116.0
False,2016-08-26,13547144,122.0
False,2016-08-27,13547144,127.0
False,2016-08-28,13547144,118.0
False,2016-08-29,13547144,115.0
False,2016-08-30,13547144,115.0
False,2016-08-31,13547144,116.0
False,2016-09-01,13547144,117.0
False,2016-09-02,13547144,123.0
False,2016-09-03,13547144,128.0
True,2016-05-29,13592347,115.0
True,2016-05-30,13592347,115.0
True,2016-05-31,13592347,115.0
True,2016-06-01,13592347,115.0
True,2016-06-02,13592347,115.0
True,2016-06-03,13592347,150.0
True,2016-06-04,13592347,150.0
True,2016-06-05,13592347,115.0
True,2016-06-06,13592347,115.0
True,2016-06-07,13592347,115.0
True,2016-06-08,13592347,115.0
True,2016-06-09,13592347,115.0
True,2016-06-10,13592347,150.0
True,2016-06-11,13592347,150.0
True,2016-06-12,13592347,115.0
True,2016-06-13,13592347,115.0
True,2016-06-14,13592347,115.0
True,2016-06-15,13592347,115.0
True,2016-06-16,13592347,115.0
True,2016-06-17,13592347,150.0
True,2016-06-18,13592347,150.0
False,2016-06-19,13592347,115.0
False,2016-06-20,13592347,115.0
False,2016-06-21,13592347,115.0
False,2016-06-22,13592347,115.0
False,2016-06-23,13592347,115.0
False,2016-06-24,13592347,150.0
False,2016-06-25,13592347,150.0
False,2016-06-26,13592347,115.0
False,2016-06-27,13592347,115.0
False,2016-06-28,13592347,115.0
False,2016-06-29,13592347,115.0
False,2016-06-30,13592347,115.0
False,2016-07-01,13592347,150.0
False,2016-07-02,13592347,150.0
False,2016-07-03,13592347,115.0
False,2016-07-04,13592347,115.0
False,2016-07-05,13592347,115.0
False,2016-07-06,13592347,115.0
False,2016-07-07,13592347,115.0
False,2016-07-08,13592347,150.0
False,2016-07-09,13592347,150.0
False,2016-07-10,13592347,115.0
False,2016-07-11,13592347,115.0
False,2016-07-12,13592347,115.0
False,2016-07-13,13592347,115.0
False,2016-07-14,13592347,115.0
False,2016-07-15,13592347,150.0
False,2016-07-16,13592347,150.0
False,2016-07-17,13592347,115.0
False,2016-07-18,13592347,115.0
False,2016-07-19,13592347,115.0
True,2016-07-20,13592347,350.0
True,2016-07-21,13592347,350.0
True,2016-07-22,13592347,350.0
True,2016-07-23,13592347,350.0
True,2016-07-24,13592347,350.0
False,2016-07-25,13592347,115.0
False,2016-07-26,13592347,115.0
False,2016-07-27,13592347,115.0
False,2016-07-28,13592347,115.0
False,2016-07-29,13592347,150.0
False,2016-07-30,13592347,150.0
False,2016-07-31,13592347,115.0
False,2016-08-01,13592347,115.0
False,2016-08-02,13592347,115.0
False,2016-08-03,13592347,115.0
False,2016-08-04,13592347,115.0
False,2016-08-05,13592347,150.0
False,2016-08-06,13592347,115.0
False,2016-08-07,13592347,115.0
False,2016-08-08,13592347,115.0
False,2016-08-09,13592347,118.0
False,2016-08-10,13592347,115.0
False,2016-08-11,13592347,115.0
False,2016-08-12,13592347,150.0
False,2016-08-13,13592347,150.0
False,2016-08-14,13592347,115.0
False,2016-08-15,13592347,115.0
False,2016-08-16,13592347,115.0
False,2016-08-17,13592347,115.0
False,2016-08-18,13592347,115.0
False,2016-08-19,13592347,115.0
False,2016-08-20,13592347,115.0
False,2016-08-21,13592347,115.0
False,2016-08-22,13592347,115.0
False,2016-08-23,13592347,115.0
False,2016-08-24,13592347,115.0
False,2016-08-25,13592347,115.0
False,2016-08-26,13592347,150.0
False,2016-08-27,13592347,150.0
False,2016-08-28,13592347,115.0
False,2016-08-29,13592347,115.0
False,2016-08-30,13592347,115.0
False,2016-08-31,13592347,115.0
False,2016-09-01,13592347,115.0
False,2016-09-02,13592347,150.0
False,2016-09-03,13592347,150.0
True,2016-05-29,3818701,110.0
False,2016-05-30,3818701,110.0
True,2016-05-31,3818701,110.0
False,2016-06-01,3818701,110.0
False,2016-06-02,3818701,110.0
False,2016-06-03,3818701,110.0
False,2016-06-04,3818701,110.0
False,2016-06-05,3818701,110.0
False,2016-06-06,3818701,110.0
False,2016-06-07,3818701,110.0
False,2016-06-08,3818701,110.0
False,2016-06-09,3818701,110.0
False,2016-06-10,3818701,110.0
False,2016-06-11,3818701,110.0
False,2016-06-12,3818701,110.0
False,2016-06-13,3818701,110.0
False,2016-06-14,3818701,110.0
False,2016-06-15,3818701,110.0
False,2016-06-16,3818701,110.0
False,2016-06-17,3818701,110.0
False,2016-06-18,3818701,110.0
False,2016-06-19,3818701,110.0
False,2016-06-20,3818701,110.0
False,2016-06-21,3818701,110.0
False,2016-06-22,3818701,110.0
False,2016-06-23,3818701,110.0
False,2016-06-24,3818701,110.0
False,2016-06-25,3818701,110.0
False,2016-06-26,3818701,110.0
False,2016-06-27,3818701,110.0
False,2016-06-28,3818701,110.0
False,2016-06-29,3818701,110.0
False,2016-06-30,3818701,110.0
False,2016-07-01,3818701,110.0
False,2016-07-02,3818701,110.0
False,2016-07-03,3818701,110.0
False,2016-07-04,3818701,110.0
False,2016-07-05,3818701,110.0
False,2016-07-06,3818701,110.0
False,2016-07-07,3818701,110.0
