beds,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
2,True,8,4,46577920,41.49967389106623,12152657,-81.69959629223857,4,800,0,Entire home/apt,0.0
1,False,9,4,75271318,41.49772963704607,13315668,-81.69084657931029,4,650,0,Entire home/apt,0.0
3,False,10,4,53629867,41.49800140865607,12823384,-81.6912556174278,4,900,1,Entire home/apt,0.0
3,True,11,4,50838735,41.49942658625813,13820862,-81.68748094966948,4,6600,0,Entire home/apt,0.0
2,False,12,4,14047988,41.49861069696939,13057533,-81.70164641777602,4,98,0,Entire home/apt,0.0
1,True,13,4,27377741,41.47912441090439,7091499,-81.71452622111812,4,96,83,Entire home/apt,4.5
3,False,14,4,4922112,41.50086862942128,917654,-81.70152434747831,4,3400,0,Entire home/apt,0.0
1,True,15,4,27100754,41.49873043214638,11032254,-81.68986715797705,4,700,0,Entire home/apt,0.0
2,False,16,4,57416819,41.499487097359584,13598327,-81.70369666145085,4,1050,0,Entire home/apt,0.0
2,False,17,4,32470403,41.45508292623838,6816672,-81.6534881410219,4,110,4,Entire home/apt,5.0
2,False,18,4,21952290,41.4987533900261,12019071,-81.68728102023147,4,875,0,Entire home/apt,0.0
2,True,1,4,77517252,41.49844322204371,13508232,-81.68804562869975,5,1300,0,Entire home/apt,0.0
2,True,2,4,56904572,41.49952644587417,13915653,-81.70063919257412,5,2500,0,Entire home/apt,0.0
1,False,3,4,16861709,41.498311434338426,13475349,-81.69840486792191,5,500,0,Entire home/apt,0.0
2,False,4,4,59624439,41.50009088483836,11634640,-81.68415012449378,5,2000,0,Entire home/apt,0.0
1,True,5,4,40743662,41.50044246574327,12795788,-81.68631816183283,5,150,0,Entire home/apt,0.0
3,False,6,4,50900339,41.48602780969335,10514157,-81.7065972590288,5,175,6,Entire home/apt,5.0
2,False,7,4,67747874,41.498262783441746,12510020,-81.70197461017494,5,850,0,Entire home/apt,0.0
2,False,8,4,30238523,41.483802481473084,13637933,-81.70990167969853,5,350,0,Entire home/apt,0.0
2,True,9,4,66911343,41.50998557258615,12420109,-81.60467460517332,5,130,0,Entire home/apt,0.0
5,False,10,4,62149164,41.45409364454838,13815234,-81.70194676269787,5,75,0,Entire home/apt,0.0
2,True,11,4,8471616,41.48654702832924,13714356,-81.71184043038855,5,500,0,Entire home/apt,0.0
2,True,12,4,56405689,41.47966562192743,13576925,-81.68389311887508,5,325,0,Entire home/apt,0.0
1,True,13,4,79827766,41.499809128423806,13694363,-81.69811899704102,5,500,0,Entire home/apt,0.0
1,False,14,4,74030967,41.499439564979895,13208357,-81.68925803318896,5,600,0,Entire home/apt,0.0
2,False,15,4,28817268,41.50018520990673,10131858,-81.69756149752739,5,189,20,Entire home/apt,4.5
2,False,16,4,28055767,41.48147908454197,11588714,-81.7159837325122,5,75,10,Entire home/apt,4.0
3,False,17,4,10750153,41.4856587431386,4074938,-81.72031599367513,5,100,36,Entire home/apt,4.5
2,False,18,4,697889,41.47153043770148,13412922,-81.69140798682702,5,195,0,Entire home/apt,0.0
2,False,1,4,64247656,41.501129376813864,12137331,-81.70022984552027,6,890,0,Entire home/apt,0.0
1,False,2,4,82078539,41.49950087056262,13875073,-81.6904999860447,6,950,0,Entire home/apt,0.0
2,False,3,4,21084294,41.499230505655085,11887102,-81.70106232172715,6,200,0,Entire home/apt,0.0
5,True,4,4,16681629,41.52518342379536,13310126,-81.64797109889918,6,210,1,Entire home/apt,0.0
2,False,5,4,80599862,41.49866697481774,13753437,-81.69976808489257,6,599,0,Entire home/apt,0.0
2,False,6,4,52571636,41.50194415464293,11712954,-81.68470438377472,6,160,4,Entire home/apt,5.0
2,True,7,4,20027887,41.49857347355916,13640527,-81.6953663731809,6,550,0,Entire home/apt,0.0
2,True,8,4,80340428,41.49889334008499,13732584,-81.69849883045273,6,950,0,Entire home/apt,0.0
2,False,9,4,69817960,41.5001966011118,12808228,-81.68946713091829,6,5000,0,Entire home/apt,0.0
2,False,10,4,56714342,41.4994767887873,10938515,-81.70084576400603,6,1500,0,Entire home/apt,0.0
2,True,11,4,77998273,41.49904310491283,13653231,-81.69031248521708,6,500,0,Entire home/apt,0.0
4,True,12,4,27011768,41.48548710209279,13561924,-81.69609695164388,6,1800,0,Entire home/apt,0.0
2,True,13,4,18119720,41.50014794579767,13525213,-81.68443696496256,6,850,0,Entire home/apt,0.0
1,False,14,4,12634137,41.49939579986411,13670418,-81.68883717277811,6,600,0,Entire home/apt,0.0
1,True,15,4,29864352,41.50063956343922,5773111,-81.6898893060378,6,335,0,Entire home/apt,0.0
3,False,16,4,16327385,41.49877058979338,6226477,-81.68664856716842,6,810,0,Entire home/apt,0.0
2,False,17,4,22945486,41.476988353456925,10289671,-81.68915099340343,6,200,24,Entire home/apt,5.0
2,True,18,4,70677477,41.49734744160417,12901806,-81.70192397592498,6,400,0,Entire home/apt,0.0
1,False,1,4,69357008,41.49642552646027,12751416,-81.69959257225695,7,700,0,Entire home/apt,0.0
3,True,2,4,50838735,41.49942658625813,13820862,-81.68748094966948,7,6600,0,Entire home/apt,0.0
2,False,3,4,57416819,41.499487097359584,13598327,-81.70369666145085,7,1050,0,Entire home/apt,0.0
1,False,4,4,74030967,41.499439564979895,13208357,-81.68925803318896,7,600,0,Entire home/apt,0.0
1,True,5,4,40743662,41.50044246574327,12795788,-81.68631816183283,7,150,0,Entire home/apt,0.0
