date,price,availability,listingID
2016-06-27,105.0,True,5396686
2016-06-26,105.0,True,5396686
2016-06-25,105.0,True,5396686
2016-06-24,115.0,False,5396686
2016-06-23,115.0,False,5396686
2016-06-22,115.0,False,5396686
2016-06-21,104.0,False,5396686
2016-06-20,104.0,False,5396686
2016-06-29,101.0,True,5396686
2016-06-28,104.0,True,5396686
2016-03-27,115.0,False,5396686
2016-03-28,115.0,False,5396686
2016-03-29,115.0,False,5396686
2016-05-26,115.0,False,5396686
2016-05-27,115.0,False,5396686
2016-05-24,95.0,True,5396686
2016-05-25,115.0,False,5396686
2016-05-22,95.0,True,5396686
2016-05-23,95.0,True,5396686
2016-05-20,122.0,False,5396686
2016-05-21,122.0,False,5396686
2016-04-30,115.0,False,5396686
2016-05-28,120.0,False,5396686
2016-05-29,110.0,False,5396686
2016-03-31,115.0,False,5396686
2016-03-30,115.0,False,5396686
2016-04-29,115.0,False,5396686
2016-04-28,111.0,False,5396686
2016-05-31,101.0,False,5396686
2016-05-30,101.0,False,5396686
2016-04-21,120.0,False,5396686
2016-04-20,120.0,False,5396686
2016-04-23,115.0,False,5396686
2016-04-22,115.0,False,5396686
2016-04-25,107.0,False,5396686
2016-04-24,111.0,False,5396686
2016-04-27,111.0,False,5396686
2016-04-26,111.0,False,5396686
2016-05-08,75.0,True,5396686
2016-05-09,75.0,True,5396686
2016-07-01,122.0,False,5396686
2016-05-01,120.0,False,5396686
2016-05-02,120.0,False,5396686
2016-05-03,120.0,False,5396686
2016-05-04,120.0,False,5396686
2016-05-05,120.0,False,5396686
2016-05-06,117.0,False,5396686
2016-05-07,117.0,False,5396686
2016-04-18,120.0,False,5396686
2016-04-19,120.0,False,5396686
2016-04-14,120.0,False,5396686
2016-04-15,112.0,False,5396686
2016-04-16,112.0,False,5396686
2016-04-17,99.0,False,5396686
2016-04-10,120.0,False,5396686
2016-04-11,120.0,False,5396686
2016-04-12,120.0,False,5396686
2016-04-13,120.0,False,5396686
2016-06-18,115.0,False,5396686
2016-06-19,104.0,False,5396686
2016-06-16,101.0,True,5396686
