"Date","Value"
2016-05-31,253100
2016-03-31,249900
2016-02-29,248500
2016-01-31,247100
2015-12-31,246100
2015-11-30,245300
2015-10-31,243900
2015-09-30,240500
2015-08-31,236000
2015-07-31,233800
2015-06-30,231300
2015-05-31,229900
2015-04-30,228900
2015-03-31,228400
2015-02-28,228400
2015-01-31,227500
2014-12-31,226500
2014-11-30,225600
2014-10-31,225200
2014-09-30,225100
2014-08-31,225800
2014-07-31,226600
2014-06-30,228000
2014-05-31,232000
2014-04-30,234300
2014-03-31,233000
2014-02-28,229600
2014-01-31,228500
2013-12-31,227600
2013-11-30,225300
2013-10-31,222700
2013-09-30,221700
2013-08-31,220600
2013-07-31,218500
2013-06-30,215700
2013-05-31,211800
2013-04-30,209700
2013-03-31,208800
2013-02-28,207700
2013-01-31,206400
2012-12-31,205300
2012-11-30,203400
2012-10-31,201100
2012-09-30,199300
2012-08-31,199000
2012-07-31,199500
2012-06-30,199400
2012-05-31,199500
2012-04-30,199500
2012-03-31,199500
2012-02-29,200900
2012-01-31,201500
2011-12-31,200100
2011-11-30,2e+05
2011-10-31,200100
2011-09-30,2e+05
2011-08-31,200900
2011-07-31,201400
2011-06-30,200600
2011-05-31,200200
2011-04-30,201500
2011-03-31,203300
2011-02-28,205100
2011-01-31,205000
2010-12-31,205000
2010-11-30,205100
2010-10-31,207000
2010-09-30,207900
2010-08-31,209200
2010-07-31,210900
2010-06-30,213500
2010-05-31,214900
2010-04-30,215000
2010-03-31,217000
2010-02-28,219000
2010-01-31,226600
2009-12-31,239200
2009-11-30,250400
2009-10-31,256900
2009-09-30,263900
2009-08-31,266900
2009-07-31,270600
2009-06-30,275500
2009-05-31,277700
2009-04-30,277400
2009-03-31,277400
2009-02-28,277300
2009-01-31,276000
2008-12-31,274000
2008-11-30,272900
2008-10-31,272600
2008-09-30,272400
2008-08-31,272400
2008-07-31,272700
2008-06-30,273300
2008-05-31,275100
2008-04-30,277600
2008-03-31,279600
2008-02-29,280600
2008-01-31,279900
2007-12-31,278100
2007-11-30,275900
2007-10-31,274000
2007-09-30,272300
2007-08-31,270800
2007-07-31,268400
2007-06-30,265600
2007-05-31,263300
2007-04-30,260300
2007-03-31,256200
2007-02-28,252500
2007-01-31,248300
2006-12-31,242900
2006-11-30,237600
2006-10-31,232700
2006-09-30,227800
2006-08-31,223200
2006-07-31,218600
2006-06-30,214000
2006-05-31,210300
2006-04-30,207300
2006-03-31,204800
2006-02-28,202500
2006-01-31,2e+05
2005-12-31,197500
2005-11-30,195500
2005-10-31,194100
2005-09-30,192600
2005-08-31,191500
2005-07-31,190500
2005-06-30,189300
2005-05-31,187800
2005-04-30,186400
2005-03-31,185000
2005-02-28,183600
2005-01-31,182300
2004-12-31,181700
2004-11-30,181400
2004-10-31,180700
2004-09-30,179800
2004-08-31,178500
2004-07-31,177300
2004-06-30,176300
2004-05-31,175500
2004-04-30,174500
2004-03-31,173600
2004-02-29,173300
2004-01-31,173200
2003-12-31,173300
2003-11-30,173400
2003-10-31,173300
2003-09-30,173300
2003-08-31,173400
2003-07-31,173900
2003-06-30,174500
2003-05-31,175100
2003-04-30,175600
2003-03-31,175800
2003-02-28,176000
2003-01-31,175800
2002-12-31,175700
2002-11-30,175900
2002-10-31,176400
2002-09-30,177000
2002-08-31,177900
2002-07-31,178200
2002-06-30,178000
2002-05-31,178400
2002-04-30,179400
2002-03-31,180000
2002-02-28,179800
2002-01-31,179600
2001-12-31,179300
2001-11-30,178900
2001-10-31,178500
2001-09-30,178200
2001-08-31,177700
2001-07-31,177100
2001-06-30,176700
2001-05-31,176400
2001-04-30,176200
2001-03-31,175800
2001-02-28,175600
2001-01-31,175100
2000-12-31,173400
2000-11-30,171700
2000-10-31,171300
2000-09-30,170700
2000-08-31,169500
2000-07-31,168700
2000-06-30,167800
2000-05-31,165700
2000-04-30,163600
2000-03-31,162400
2000-02-29,161700
2000-01-31,161200
1999-12-31,160700
1999-11-30,159800
1999-10-31,158600
1999-09-30,157900
1999-08-31,157600
1999-07-31,157300
1999-06-30,156800
1999-05-31,156300
1999-04-30,156000
1999-03-31,155700
1999-02-28,155000
1999-01-31,154400
1998-12-31,154000
1998-11-30,153900
1998-10-31,154000
1998-09-30,153900
1998-08-31,153200
1998-07-31,152200
1998-06-30,151700
1998-05-31,151300
1998-04-30,150700
1998-03-31,150300
1998-02-28,149800
1998-01-31,149100
1997-12-31,148300
1997-11-30,147500
1997-10-31,146200
1997-09-30,144800
1997-08-31,143500
1997-07-31,142400
1997-06-30,141500
1997-05-31,140400
1997-04-30,139200
1997-03-31,138300
1997-02-28,137300
1997-01-31,136100
1996-12-31,135400
1996-11-30,134800
1996-10-31,133900
1996-09-30,133200
1996-08-31,133100
1996-07-31,133200
1996-06-30,133000
1996-05-31,133200
1996-04-30,133200
