"Date","Value"
2016-03-31,98200
2015-06-30,89700
2015-05-31,89100
2015-04-30,87700
2015-01-31,89700
2014-12-31,90400
2014-11-30,91300
2014-10-31,91500
2014-09-30,91300
2014-08-31,91200
2014-07-31,90800
2014-06-30,88900
2014-05-31,86200
2014-04-30,85600
2014-03-31,86600
2014-02-28,87100
2014-01-31,86400
2013-12-31,84600
2013-11-30,82300
2013-10-31,80900
2013-09-30,80000
2013-08-31,78500
2013-07-31,77200
2013-06-30,76400
2013-05-31,75300
2013-04-30,73800
2013-03-31,72000
2013-02-28,71300
2013-01-31,72100
2012-12-31,73400
2012-11-30,74200
2012-10-31,74700
2012-09-30,75300
2012-08-31,76400
2012-07-31,78300
2012-06-30,80700
2012-05-31,82000
2012-04-30,81700
2012-03-31,81100
2012-02-29,80700
2012-01-31,79800
2011-12-31,78400
2011-11-30,76700
2011-10-31,75100
2011-09-30,74300
2011-08-31,74200
2011-07-31,74400
2011-06-30,74600
2011-05-31,75600
2011-04-30,77200
2011-03-31,77900
2011-02-28,77200
2011-01-31,77100
2010-12-31,78400
2010-11-30,80000
2010-10-31,80800
2010-09-30,81600
2010-08-31,82200
2010-07-31,82500
2010-06-30,82900
2010-05-31,83700
2010-04-30,84100
2010-03-31,85000
2010-02-28,85800
2010-01-31,85400
2009-12-31,84200
2009-11-30,83300
2009-10-31,83100
2009-09-30,82700
2009-08-31,81800
2009-07-31,80800
2009-06-30,80500
2009-05-31,80600
2009-04-30,81300
2009-03-31,82600
2009-02-28,84000
2009-01-31,84000
2008-12-31,83500
2008-11-30,84400
2008-10-31,86700
2008-09-30,87600
2008-08-31,88800
2008-07-31,90000
2008-06-30,90400
2008-05-31,90100
2008-04-30,90500
2008-03-31,90600
2008-02-29,91100
2008-01-31,92500
2007-12-31,93500
2007-11-30,93400
2007-10-31,93000
2007-09-30,92900
2007-08-31,92800
2007-07-31,92900
2007-06-30,93500
2007-05-31,94600
2007-04-30,94600
2007-03-31,93400
2007-02-28,92300
2007-01-31,92600
2006-12-31,93400
2006-11-30,93500
2006-10-31,93200
2006-09-30,94000
2006-08-31,94500
2006-07-31,94500
2006-06-30,94300
2006-05-31,94400
2006-04-30,94500
2006-03-31,94400
2006-02-28,94200
2006-01-31,94200
2005-12-31,94800
2005-11-30,94700
2005-10-31,94300
2005-09-30,94200
2005-08-31,94300
2005-07-31,93900
2005-06-30,93900
2005-05-31,93500
2005-04-30,93000
2005-03-31,93300
2005-02-28,94100
2005-01-31,94000
2004-12-31,93400
2004-11-30,93100
2004-10-31,92700
2004-09-30,91400
2004-08-31,90600
2004-07-31,90800
2004-06-30,90500
2004-05-31,89800
2004-04-30,89400
2004-03-31,88900
2004-02-29,88300
2004-01-31,88100
2003-12-31,87800
2003-11-30,87900
2003-10-31,88400
2003-09-30,88900
2003-08-31,89000
2003-07-31,88400
2003-06-30,87400
2003-05-31,86900
2003-04-30,86900
2003-03-31,87800
2003-02-28,88400
2003-01-31,88200
2002-12-31,87300
2002-11-30,86700
2002-10-31,86500
2002-09-30,86400
2002-08-31,86000
2002-07-31,85300
2002-06-30,84800
2002-05-31,84500
2002-04-30,84300
2002-03-31,84000
2002-02-28,83100
2002-01-31,82500
2001-12-31,82600
2001-11-30,82100
2001-10-31,81300
2001-09-30,80900
2001-08-31,80800
2001-07-31,80500
2001-06-30,80500
2001-05-31,80500
2001-04-30,79700
2001-03-31,78800
2001-02-28,78500
2001-01-31,78500
2000-12-31,78600
2000-11-30,79100
2000-10-31,79700
2000-09-30,79700
2000-08-31,79300
2000-07-31,79100
2000-06-30,79000
2000-05-31,79000
2000-04-30,78500
2000-03-31,78000
2000-02-29,77500
2000-01-31,77000
1999-12-31,76600
1999-11-30,77000
1999-10-31,76900
1999-09-30,76400
1999-08-31,76400
1999-07-31,76900
1999-06-30,76900
1999-05-31,76400
1999-04-30,75500
1999-03-31,74300
1999-02-28,73800
1999-01-31,74100
1998-12-31,74200
1998-11-30,73900
1998-10-31,73400
1998-09-30,73100
1998-08-31,72800
1998-07-31,72500
1998-06-30,72100
1998-05-31,72000
1998-04-30,72200
1998-03-31,72000
1998-02-28,71400
1998-01-31,70700
1997-12-31,70100
1997-11-30,68900
1997-10-31,68100
1997-09-30,67800
1997-08-31,67400
1997-07-31,66800
1997-06-30,66400
1997-05-31,66000
1997-04-30,65700
1997-03-31,65600
1997-02-28,65700
1997-01-31,65800
1996-12-31,65700
1996-11-30,65600
1996-10-31,65000
1996-09-30,64500
1996-08-31,64300
1996-07-31,64400
1996-06-30,64200
1996-05-31,64300
1996-04-30,65000
