"Date","Value"
2016-05-31,133500
2016-03-31,129900
2016-02-29,130400
2016-01-31,130200
2015-12-31,130300
2015-11-30,129600
2015-10-31,129400
2015-09-30,127700
2015-08-31,127900
2015-07-31,125700
2015-06-30,126300
2015-05-31,125800
2015-04-30,125300
2015-03-31,126600
2015-02-28,127300
2015-01-31,127100
2014-12-31,126800
2014-11-30,126100
2014-10-31,125100
2014-09-30,124100
2014-08-31,123200
2014-07-31,122300
2014-06-30,121500
2014-05-31,120600
2014-04-30,119900
2014-03-31,119400
2014-02-28,119000
2014-01-31,118200
2013-12-31,117100
2013-11-30,116200
2013-10-31,115200
2013-09-30,114000
2013-08-31,112700
2013-07-31,111800
2013-06-30,111100
2013-05-31,110200
2013-04-30,109300
2013-03-31,108800
2013-02-28,108600
2013-01-31,108500
2012-12-31,108700
2012-11-30,108700
2012-10-31,108500
2012-09-30,108400
2012-08-31,108300
2012-07-31,108000
2012-06-30,107600
2012-05-31,107300
2012-04-30,107100
2012-03-31,107000
2012-02-29,106800
2012-01-31,107000
2011-12-31,107300
2011-11-30,107400
2011-10-31,107700
2011-09-30,108100
2011-08-31,108300
2011-07-31,108700
2011-06-30,109300
2011-05-31,110100
2011-04-30,111200
2011-03-31,112000
2011-02-28,112900
2011-01-31,113900
2010-12-31,114600
2010-11-30,115000
2010-10-31,115300
2010-09-30,115700
2010-08-31,116200
2010-07-31,116700
2010-06-30,117300
2010-05-31,118000
2010-04-30,118700
2010-03-31,119000
2010-02-28,119200
2010-01-31,119300
2009-12-31,119300
2009-11-30,119100
2009-10-31,119000
2009-09-30,119000
2009-08-31,119300
2009-07-31,119800
2009-06-30,120300
2009-05-31,121000
2009-04-30,121500
2009-03-31,121800
2009-02-28,121800
2009-01-31,121500
2008-12-31,121700
2008-11-30,123200
2008-10-31,125500
2008-09-30,127800
2008-08-31,129800
2008-07-31,131500
2008-06-30,132200
2008-05-31,132400
2008-04-30,132900
2008-03-31,134400
2008-02-29,136100
2008-01-31,137800
2007-12-31,139500
2007-11-30,141000
2007-10-31,142200
2007-09-30,143200
2007-08-31,143900
2007-07-31,144400
2007-06-30,145300
2007-05-31,146200
2007-04-30,146700
2007-03-31,146800
2007-02-28,147100
2007-01-31,147400
2006-12-31,147800
2006-11-30,148000
2006-10-31,148300
2006-09-30,148600
2006-08-31,148800
2006-07-31,149100
2006-06-30,149700
2006-05-31,150200
2006-04-30,150300
2006-03-31,150200
2006-02-28,150400
2006-01-31,150800
2005-12-31,150900
2005-11-30,150700
2005-10-31,149900
2005-09-30,149300
2005-08-31,149300
2005-07-31,149200
2005-06-30,148900
2005-05-31,148800
2005-04-30,149000
2005-03-31,149000
2005-02-28,149100
2005-01-31,149100
2004-12-31,149200
2004-11-30,149100
2004-10-31,148700
2004-09-30,148300
2004-08-31,147700
2004-07-31,146900
2004-06-30,146200
2004-05-31,145800
2004-04-30,145500
2004-03-31,145000
2004-02-29,144200
2004-01-31,143500
2003-12-31,142700
2003-11-30,142200
2003-10-31,141900
2003-09-30,141500
2003-08-31,141100
2003-07-31,141000
2003-06-30,140700
2003-05-31,140200
2003-04-30,139600
2003-03-31,139200
2003-02-28,138800
2003-01-31,138200
2002-12-31,137500
2002-11-30,136700
2002-10-31,135800
2002-09-30,135200
2002-08-31,134200
2002-07-31,133000
2002-06-30,132100
2002-05-31,131500
2002-04-30,130800
2002-03-31,130200
2002-02-28,129300
2002-01-31,128400
2001-12-31,127500
2001-11-30,126600
2001-10-31,125900
2001-09-30,125300
2001-08-31,124700
2001-07-31,124200
2001-06-30,123600
2001-05-31,122600
2001-04-30,121700
2001-03-31,121200
2001-02-28,120800
2001-01-31,120300
2000-12-31,119700
2000-11-30,119200
2000-10-31,118300
2000-09-30,117500
2000-08-31,116900
2000-07-31,116300
2000-06-30,115800
2000-05-31,115400
2000-04-30,115000
2000-03-31,114500
2000-02-29,113500
2000-01-31,112300
1999-12-31,111600
1999-11-30,111200
1999-10-31,110700
1999-09-30,109900
1999-08-31,109000
1999-07-31,108200
1999-06-30,107700
1999-05-31,107300
1999-04-30,106600
1999-03-31,106000
1999-02-28,105700
1999-01-31,105200
1998-12-31,104500
1998-11-30,103700
1998-10-31,103100
1998-09-30,102500
1998-08-31,101800
1998-07-31,101000
1998-06-30,100400
1998-05-31,99900
1998-04-30,99200
1998-03-31,98800
1998-02-28,98300
1998-01-31,98000
1997-12-31,97700
1997-11-30,97400
1997-10-31,97200
1997-09-30,97100
1997-08-31,96600
1997-07-31,95900
1997-06-30,94800
1997-05-31,93700
1997-04-30,92800
1997-03-31,92400
1997-02-28,92000
1997-01-31,91200
1996-12-31,90300
1996-11-30,89800
1996-10-31,89500
1996-09-30,88900
1996-08-31,88900
1996-07-31,89300
1996-06-30,89600
1996-05-31,89800
1996-04-30,89700
