"Date","Value"
2016-05-31,129900
2016-03-31,129000
2016-02-29,129500
2016-01-31,129800
2015-12-31,128900
2015-11-30,128600
2015-10-31,128000
2015-09-30,126300
2015-08-31,125700
2015-07-31,125000
2015-06-30,123700
2015-05-31,122000
2015-04-30,119800
2015-03-31,121100
2015-02-28,121400
2015-01-31,121200
2014-12-31,121600
2014-11-30,121800
2014-10-31,121500
2014-09-30,121300
2014-08-31,120900
2014-07-31,120800
2014-06-30,120900
2014-05-31,120900
2014-04-30,120900
2014-03-31,121400
2014-02-28,121300
2014-01-31,120800
2013-12-31,120400
2013-11-30,120300
2013-10-31,120000
2013-09-30,119900
2013-08-31,119700
2013-07-31,119400
2013-06-30,119000
2013-05-31,118600
2013-04-30,118000
2013-03-31,117600
2013-02-28,117800
2013-01-31,118400
2012-12-31,118600
2012-11-30,118500
2012-10-31,118400
2012-09-30,118200
2012-08-31,117800
2012-07-31,117500
2012-06-30,117200
2012-05-31,116900
2012-04-30,116700
2012-03-31,116600
2012-02-29,116600
2012-01-31,116800
2011-12-31,116800
2011-11-30,116500
2011-10-31,116300
2011-09-30,116400
2011-08-31,116600
2011-07-31,116800
2011-06-30,117200
2011-05-31,117900
2011-04-30,118300
2011-03-31,118600
2011-02-28,119100
2011-01-31,119800
2010-12-31,120500
2010-11-30,121000
2010-10-31,121500
2010-09-30,121800
2010-08-31,122100
2010-07-31,122300
2010-06-30,122400
2010-05-31,122500
2010-04-30,122700
2010-03-31,122800
2010-02-28,122700
2010-01-31,122600
2009-12-31,122700
2009-11-30,122500
2009-10-31,122100
2009-09-30,121800
2009-08-31,121800
2009-07-31,121800
2009-06-30,121600
2009-05-31,121500
2009-04-30,121500
2009-03-31,121000
2009-02-28,120300
2009-01-31,119300
2008-12-31,118200
2008-11-30,117700
2008-10-31,118300
2008-09-30,118700
2008-08-31,119000
2008-07-31,119300
2008-06-30,119600
2008-05-31,120000
2008-04-30,120600
2008-03-31,121200
2008-02-29,121300
2008-01-31,121400
2007-12-31,121800
2007-11-30,122300
2007-10-31,122300
2007-09-30,122000
2007-08-31,121700
2007-07-31,121600
2007-06-30,121300
2007-05-31,120900
2007-04-30,120600
2007-03-31,120400
2007-02-28,120200
2007-01-31,120200
2006-12-31,120200
2006-11-30,119800
2006-10-31,119500
2006-09-30,119400
2006-08-31,119000
2006-07-31,118500
2006-06-30,118300
2006-05-31,118200
2006-04-30,117700
2006-03-31,117500
2006-02-28,117600
2006-01-31,117400
2005-12-31,116900
2005-11-30,116400
2005-10-31,115600
2005-09-30,114700
2005-08-31,114100
2005-07-31,113600
2005-06-30,112900
2005-05-31,112100
2005-04-30,111200
2005-03-31,110200
2005-02-28,109400
2005-01-31,108800
2004-12-31,108200
2004-11-30,107900
2004-10-31,107400
2004-09-30,106700
2004-08-31,106300
2004-07-31,106000
2004-06-30,105500
2004-05-31,104900
2004-04-30,104400
2004-03-31,103700
2004-02-29,102900
2004-01-31,102200
2003-12-31,101600
2003-11-30,101200
2003-10-31,101000
2003-09-30,100700
2003-08-31,100300
2003-07-31,99800
2003-06-30,98900
2003-05-31,98000
2003-04-30,97200
2003-03-31,97100
2003-02-28,97000
2003-01-31,96900
2002-12-31,96600
2002-11-30,96200
2002-10-31,95700
2002-09-30,95400
2002-08-31,94900
2002-07-31,94300
2002-06-30,93900
2002-05-31,93900
2002-04-30,94000
2002-03-31,93700
2002-02-28,92900
2002-01-31,92400
2001-12-31,92100
2001-11-30,91900
2001-10-31,91800
2001-09-30,91900
2001-08-31,91800
2001-07-31,91900
2001-06-30,91800
2001-05-31,91600
2001-04-30,91300
2001-03-31,91100
2001-02-28,90900
2001-01-31,90600
2000-12-31,90400
2000-11-30,90100
2000-10-31,89400
2000-09-30,88600
2000-08-31,87900
2000-07-31,87300
2000-06-30,87100
2000-05-31,86900
2000-04-30,86500
2000-03-31,86200
2000-02-29,85900
2000-01-31,85100
1999-12-31,84400
1999-11-30,84000
1999-10-31,83700
1999-09-30,83600
1999-08-31,83600
1999-07-31,83600
1999-06-30,83300
1999-05-31,83100
1999-04-30,82800
1999-03-31,82400
1999-02-28,82100
1999-01-31,81800
1998-12-31,81400
1998-11-30,80800
1998-10-31,80400
1998-09-30,80300
1998-08-31,80200
1998-07-31,80000
1998-06-30,79600
1998-05-31,79400
1998-04-30,79000
1998-03-31,78700
1998-02-28,78400
1998-01-31,78100
1997-12-31,77600
1997-11-30,77000
1997-10-31,76500
1997-09-30,76000
1997-08-31,75300
1997-07-31,74700
1997-06-30,74100
1997-05-31,73600
1997-04-30,73300
1997-03-31,73100
1997-02-28,72700
1997-01-31,72100
1996-12-31,71800
1996-11-30,71500
1996-10-31,71100
1996-09-30,70500
1996-08-31,69900
1996-07-31,69300
1996-06-30,68800
1996-05-31,68200
1996-04-30,67500
