"Date","Value"
2015-08-31,110600
2015-07-31,109700
2015-06-30,110400
2015-05-31,109000
2015-04-30,108900
2015-03-31,109900
2015-02-28,110800
2015-01-31,111200
2014-12-31,111600
2014-11-30,111600
2014-10-31,110100
2014-09-30,107800
2014-08-31,106000
2014-07-31,105200
2014-06-30,104300
2014-05-31,103600
2014-04-30,102900
2014-03-31,102200
2014-02-28,102000
2014-01-31,102100
2013-12-31,101700
2013-11-30,100900
2013-10-31,100200
2013-09-30,100100
2013-08-31,1e+05
2013-07-31,99700
2013-06-30,99000
2013-05-31,98500
2013-04-30,98300
2013-03-31,98200
2013-02-28,98000
2013-01-31,97900
2012-12-31,97800
2012-11-30,97600
2012-10-31,97800
2012-09-30,97900
2012-08-31,97700
2012-07-31,97500
2012-06-30,97300
2012-05-31,97100
2012-04-30,97400
2012-03-31,97700
2012-02-29,97900
2012-01-31,98100
2011-12-31,98400
2011-11-30,98800
2011-10-31,99100
2011-09-30,99500
2011-08-31,1e+05
2011-07-31,100200
2011-06-30,100500
2011-05-31,100800
2011-04-30,101400
2011-03-31,101700
2011-02-28,101500
2011-01-31,101300
2010-12-31,101600
2010-11-30,101700
2010-10-31,102200
2010-09-30,102800
2010-08-31,103400
2010-07-31,103800
2010-06-30,104600
2010-05-31,105500
2010-04-30,105900
2010-03-31,106000
2010-02-28,106300
2010-01-31,106900
2009-12-31,107500
2009-11-30,107600
2009-10-31,107800
2009-09-30,107800
2009-08-31,108000
2009-07-31,108400
2009-06-30,109200
2009-05-31,109700
2009-04-30,110000
2009-03-31,110200
2009-02-28,110000
2009-01-31,108500
2008-12-31,106800
2008-11-30,106300
2008-10-31,106700
2008-09-30,107100
2008-08-31,107700
2008-07-31,108100
2008-06-30,107800
2008-05-31,107600
2008-04-30,106700
2008-03-31,105800
2008-02-29,105100
2008-01-31,104900
2007-12-31,105100
2007-11-30,105300
2007-10-31,104700
2007-09-30,104000
2007-08-31,102800
2007-07-31,101900
2007-06-30,101300
2007-05-31,100900
2007-04-30,100400
2007-03-31,100600
2007-02-28,101100
2007-01-31,101200
2006-12-31,101000
2006-11-30,100700
2006-10-31,101000
2006-09-30,101100
2006-08-31,100800
2006-07-31,100500
2006-06-30,100400
2006-05-31,100100
2006-04-30,99300
2006-03-31,97900
2006-02-28,96900
2006-01-31,96500
2005-12-31,96200
2005-11-30,95700
2005-10-31,94700
2005-09-30,93900
2005-08-31,93800
2005-07-31,93700
2005-06-30,93200
2005-05-31,92600
2005-04-30,92300
2005-03-31,92100
2005-02-28,91700
2005-01-31,91100
2004-12-31,90500
2004-11-30,90100
2004-10-31,90100
2004-09-30,90500
2004-08-31,90600
2004-07-31,90700
2004-06-30,90700
2004-05-31,90600
2004-04-30,90500
2004-03-31,90800
2004-02-29,91100
2004-01-31,90900
2003-12-31,91000
2003-11-30,91000
2003-10-31,90500
2003-09-30,89800
2003-08-31,89000
2003-07-31,87900
2003-06-30,86500
2003-05-31,85700
2003-04-30,85500
2003-03-31,85500
2003-02-28,85400
2003-01-31,85400
2002-12-31,85100
2002-11-30,84800
2002-10-31,84400
2002-09-30,83400
2002-08-31,82400
2002-07-31,81600
2002-06-30,81100
2002-05-31,81200
2002-04-30,81000
2002-03-31,80500
2002-02-28,79900
2002-01-31,79900
2001-12-31,79900
2001-11-30,79800
2001-10-31,79900
2001-09-30,80200
2001-08-31,80200
2001-07-31,80300
2001-06-30,80500
2001-05-31,81000
2001-04-30,81500
2001-03-31,82000
2001-02-28,82300
2001-01-31,82300
2000-12-31,82200
2000-11-30,81000
2000-10-31,79500
2000-09-30,78700
2000-08-31,79000
2000-07-31,79100
2000-06-30,78800
2000-05-31,77900
2000-04-30,77000
2000-03-31,76400
2000-02-29,76000
2000-01-31,75700
1999-12-31,75500
1999-11-30,75400
1999-10-31,75800
1999-09-30,76000
1999-08-31,75700
1999-07-31,75400
1999-06-30,75200
1999-05-31,74800
1999-04-30,74400
1999-03-31,73900
1999-02-28,73100
1999-01-31,72300
1998-12-31,71500
1998-11-30,70900
1998-10-31,70400
1998-09-30,69800
1998-08-31,69100
1998-07-31,68600
1998-06-30,68600
1998-05-31,68500
1998-04-30,68200
1998-03-31,67700
1998-02-28,67300
1998-01-31,66900
1997-12-31,66700
1997-11-30,66500
1997-10-31,65800
1997-09-30,65400
1997-08-31,65200
1997-07-31,65100
1997-06-30,65100
1997-05-31,65400
1997-04-30,65100
1997-03-31,64800
1997-02-28,64600
1997-01-31,64400
1996-12-31,64400
1996-11-30,65000
1996-10-31,66100
1996-09-30,66900
1996-08-31,67500
1996-07-31,67800
1996-06-30,67600
1996-05-31,67400
1996-04-30,67300
