"Date","Value"
2016-05-31,199500
2016-03-31,198400
2016-02-29,197600
2016-01-31,196700
2015-12-31,196100
2015-11-30,195300
2015-10-31,194300
2015-09-30,192900
2015-08-31,188600
2015-07-31,186900
2015-06-30,185500
2015-05-31,184000
2015-04-30,182900
2015-03-31,183600
2015-02-28,184100
2015-01-31,183200
2014-12-31,181900
2014-11-30,180600
2014-10-31,179800
2014-09-30,179100
2014-08-31,178900
2014-07-31,179400
2014-06-30,180600
2014-05-31,183900
2014-04-30,184300
2014-03-31,181000
2014-02-28,178500
2014-01-31,178400
2013-12-31,177200
2013-11-30,176100
2013-10-31,176000
2013-09-30,175900
2013-08-31,175500
2013-07-31,174900
2013-06-30,175000
2013-05-31,174200
2013-04-30,173100
2013-03-31,173300
2013-02-28,174000
2013-01-31,172900
2012-12-31,171000
2012-11-30,170000
2012-10-31,169900
2012-09-30,169900
2012-08-31,169700
2012-07-31,169400
2012-06-30,169500
2012-05-31,169400
2012-04-30,169500
2012-03-31,170300
2012-02-29,171200
2012-01-31,170000
2011-12-31,168100
2011-11-30,167600
2011-10-31,167900
2011-09-30,167200
2011-08-31,167100
2011-07-31,167200
2011-06-30,167400
2011-05-31,167600
2011-04-30,167700
2011-03-31,167700
2011-02-28,168100
2011-01-31,167000
2010-12-31,165600
2010-11-30,165500
2010-10-31,166300
2010-09-30,167600
2010-08-31,169000
2010-07-31,169800
2010-06-30,169700
2010-05-31,170200
2010-04-30,170900
2010-03-31,171000
2010-02-28,169500
2010-01-31,175300
2009-12-31,186800
2009-11-30,193100
2009-10-31,192000
2009-09-30,192200
2009-08-31,193000
2009-07-31,193900
2009-06-30,194200
2009-05-31,193700
2009-04-30,193300
2009-03-31,193200
2009-02-28,193200
2009-01-31,191700
2008-12-31,189100
2008-11-30,187000
2008-10-31,186100
2008-09-30,185000
2008-08-31,183800
2008-07-31,183100
2008-06-30,183000
2008-05-31,183200
2008-04-30,183800
2008-03-31,184000
2008-02-29,184000
2008-01-31,184000
2007-12-31,183700
2007-11-30,184100
2007-10-31,185200
2007-09-30,185600
2007-08-31,184900
2007-07-31,183700
2007-06-30,181900
2007-05-31,180000
2007-04-30,178300
2007-03-31,176700
2007-02-28,176200
2007-01-31,175700
2006-12-31,174100
2006-11-30,172400
2006-10-31,171100
2006-09-30,169700
2006-08-31,169000
2006-07-31,168900
2006-06-30,169100
2006-05-31,169200
2006-04-30,169200
2006-03-31,169100
2006-02-28,168700
2006-01-31,166900
2005-12-31,164800
2005-11-30,163600
2005-10-31,163300
2005-09-30,163100
2005-08-31,162800
2005-07-31,162200
2005-06-30,161700
2005-05-31,161000
2005-04-30,160300
2005-03-31,160000
2005-02-28,159800
2005-01-31,159000
2004-12-31,158100
2004-11-30,157400
2004-10-31,157200
2004-09-30,157100
2004-08-31,156300
2004-07-31,155100
2004-06-30,153600
2004-05-31,151700
2004-04-30,149800
2004-03-31,148600
2004-02-29,147600
2004-01-31,146600
2003-12-31,146300
2003-11-30,146400
2003-10-31,146000
2003-09-30,145100
2003-08-31,144100
2003-07-31,143100
2003-06-30,142200
2003-05-31,141600
2003-04-30,140900
2003-03-31,139600
2003-02-28,138600
2003-01-31,138100
2002-12-31,136700
2002-11-30,134600
2002-10-31,133100
2002-09-30,132200
2002-08-31,131700
2002-07-31,131200
2002-06-30,130500
2002-05-31,130100
2002-04-30,130100
2002-03-31,129800
2002-02-28,129300
2002-01-31,129200
2001-12-31,129100
2001-11-30,128600
2001-10-31,128100
2001-09-30,127700
2001-08-31,127300
2001-07-31,126900
2001-06-30,127000
2001-05-31,127500
2001-04-30,127500
2001-03-31,127100
2001-02-28,126700
2001-01-31,126400
2000-12-31,125600
2000-11-30,124600
2000-10-31,123600
2000-09-30,122700
2000-08-31,122000
2000-07-31,121700
2000-06-30,121600
2000-05-31,121000
2000-04-30,120100
2000-03-31,118700
2000-02-29,117600
2000-01-31,117000
1999-12-31,116800
1999-11-30,116400
1999-10-31,116100
1999-09-30,115800
1999-08-31,115600
1999-07-31,115200
1999-06-30,114100
1999-05-31,112700
1999-04-30,111400
1999-03-31,110300
1999-02-28,110000
1999-01-31,110400
1998-12-31,110800
1998-11-30,111100
1998-10-31,111400
1998-09-30,111600
1998-08-31,111700
1998-07-31,111900
1998-06-30,112800
1998-05-31,114200
1998-04-30,116600
