"Date","Value"
2016-05-31,117900
2016-03-31,112500
2016-02-29,113500
2016-01-31,113600
2015-12-31,112300
2015-11-30,113100
2015-10-31,113500
2015-09-30,109900
2015-08-31,112800
2015-07-31,115400
2015-06-30,115600
2015-05-31,112800
2015-04-30,114400
2015-03-31,116200
2015-02-28,116000
2015-01-31,115300
2014-12-31,114900
2014-11-30,114700
2014-10-31,114600
2014-09-30,114300
2014-08-31,113800
2014-07-31,113800
2014-06-30,113600
2014-05-31,113200
2014-04-30,112500
2014-03-31,112200
2014-02-28,112300
2014-01-31,112500
2013-12-31,112400
2013-11-30,111900
2013-10-31,111200
2013-09-30,110800
2013-08-31,110700
2013-07-31,110100
2013-06-30,109400
2013-05-31,109100
2013-04-30,109100
2013-03-31,109100
2013-02-28,108800
2013-01-31,108500
2012-12-31,108500
2012-11-30,108500
2012-10-31,108700
2012-09-30,108600
2012-08-31,108400
2012-07-31,107900
2012-06-30,107300
2012-05-31,106800
2012-04-30,106700
2012-03-31,106500
2012-02-29,106500
2012-01-31,107300
2011-12-31,108200
2011-11-30,108300
2011-10-31,108100
2011-09-30,108200
2011-08-31,108200
2011-07-31,108100
2011-06-30,108400
2011-05-31,108500
2011-04-30,108500
2011-03-31,108500
2011-02-28,108800
2011-01-31,109000
2010-12-31,109200
2010-11-30,109100
2010-10-31,109200
2010-09-30,109300
2010-08-31,109600
2010-07-31,110000
2010-06-30,110200
2010-05-31,109800
2010-04-30,109400
2010-03-31,108900
2010-02-28,108600
2010-01-31,108100
2009-12-31,107600
2009-11-30,107500
2009-10-31,107700
2009-09-30,107800
2009-08-31,107600
2009-07-31,107400
2009-06-30,107500
2009-05-31,107500
2009-04-30,107300
2009-03-31,107200
2009-02-28,106900
2009-01-31,106000
2008-12-31,105200
2008-11-30,104900
2008-10-31,104600
2008-09-30,104500
2008-08-31,104600
2008-07-31,104500
2008-06-30,104600
2008-05-31,105500
2008-04-30,106000
2008-03-31,105800
2008-02-29,105800
2008-01-31,106100
2007-12-31,106100
2007-11-30,106100
2007-10-31,106100
2007-09-30,106100
2007-08-31,106200
2007-07-31,106500
2007-06-30,106200
2007-05-31,105400
2007-04-30,104900
2007-03-31,104900
2007-02-28,104600
2007-01-31,104000
2006-12-31,103900
2006-11-30,104000
2006-10-31,103800
2006-09-30,102900
2006-08-31,101900
2006-07-31,101400
2006-06-30,101200
2006-05-31,100900
2006-04-30,101000
2006-03-31,101000
2006-02-28,100700
2006-01-31,100700
2005-12-31,100600
2005-11-30,1e+05
2005-10-31,99400
2005-09-30,99400
2005-08-31,99200
2005-07-31,98700
2005-06-30,98300
2005-05-31,98000
2005-04-30,97400
2005-03-31,96700
2005-02-28,96200
2005-01-31,96000
2004-12-31,96200
2004-11-30,96100
2004-10-31,95700
2004-09-30,95600
2004-08-31,95600
2004-07-31,95000
2004-06-30,94100
2004-05-31,93700
2004-04-30,93400
2004-03-31,93400
2004-02-29,93600
2004-01-31,93300
2003-12-31,92500
2003-11-30,92000
2003-10-31,91600
2003-09-30,91200
2003-08-31,90700
2003-07-31,90500
2003-06-30,90400
2003-05-31,90100
2003-04-30,89700
2003-03-31,89500
2003-02-28,89200
2003-01-31,88700
2002-12-31,88200
2002-11-30,87700
2002-10-31,87300
2002-09-30,87000
2002-08-31,86700
2002-07-31,86500
2002-06-30,86300
2002-05-31,86100
2002-04-30,86100
2002-03-31,85900
2002-02-28,85600
2002-01-31,85100
2001-12-31,85000
2001-11-30,85100
2001-10-31,85200
2001-09-30,85200
2001-08-31,85100
2001-07-31,85000
2001-06-30,84800
2001-05-31,84700
2001-04-30,84400
2001-03-31,84000
2001-02-28,83500
2001-01-31,83300
2000-12-31,83200
2000-11-30,83100
2000-10-31,82900
2000-09-30,82700
2000-08-31,82500
2000-07-31,82400
2000-06-30,82200
2000-05-31,82000
2000-04-30,81600
2000-03-31,81100
2000-02-29,80700
2000-01-31,80500
1999-12-31,80300
1999-11-30,79900
1999-10-31,79400
1999-09-30,79100
1999-08-31,78900
1999-07-31,78500
1999-06-30,78200
1999-05-31,78000
1999-04-30,77600
1999-03-31,77200
1999-02-28,77000
1999-01-31,76800
1998-12-31,76400
1998-11-30,75900
1998-10-31,75400
1998-09-30,74900
1998-08-31,74300
1998-07-31,73900
1998-06-30,73600
1998-05-31,73300
1998-04-30,72900
1998-03-31,72600
1998-02-28,72100
1998-01-31,71700
1997-12-31,71500
1997-11-30,71200
1997-10-31,70800
1997-09-30,70500
1997-08-31,70300
1997-07-31,70000
1997-06-30,69600
1997-05-31,69200
1997-04-30,69100
1997-03-31,69100
1997-02-28,69200
1997-01-31,69000
1996-12-31,68400
1996-11-30,68000
1996-10-31,68200
1996-09-30,68100
1996-08-31,68000
1996-07-31,68100
1996-06-30,68300
1996-05-31,68000
1996-04-30,67900
