"Date","Value"
2016-05-31,238300
2016-03-31,235700
2016-02-29,232100
2016-01-31,232600
2015-12-31,233400
2015-11-30,231700
2015-10-31,230800
2015-09-30,227100
2015-08-31,225000
2015-07-31,221100
2015-06-30,220400
2015-05-31,219300
2015-04-30,217500
2015-03-31,216900
2015-02-28,216400
2015-01-31,214100
2014-12-31,214000
2014-11-30,213400
2014-10-31,212500
2014-09-30,211300
2014-08-31,209800
2014-07-31,207800
2014-06-30,205700
2014-05-31,204100
2014-04-30,204000
2014-03-31,204700
2014-02-28,204900
2014-01-31,203900
2013-12-31,202100
2013-11-30,199100
2013-10-31,195400
2013-09-30,192500
2013-08-31,190900
2013-07-31,189000
2013-06-30,186400
2013-05-31,184200
2013-04-30,183000
2013-03-31,182400
2013-02-28,181700
2013-01-31,181000
2012-12-31,180400
2012-11-30,180000
2012-10-31,179500
2012-09-30,179000
2012-08-31,178000
2012-07-31,176800
2012-06-30,175900
2012-05-31,175000
2012-04-30,174300
2012-03-31,173500
2012-02-29,173300
2012-01-31,173400
2011-12-31,173400
2011-11-30,173300
2011-10-31,173600
2011-09-30,174200
2011-08-31,174400
2011-07-31,175600
2011-06-30,177600
2011-05-31,179900
2011-04-30,182400
2011-03-31,185600
2011-02-28,188900
2011-01-31,192000
2010-12-31,194400
2010-11-30,195700
2010-10-31,196400
2010-09-30,197100
2010-08-31,197600
2010-07-31,198200
2010-06-30,198600
2010-05-31,199300
2010-04-30,200300
2010-03-31,201300
2010-02-28,203000
2010-01-31,204700
2009-12-31,205200
2009-11-30,205200
2009-10-31,206100
2009-09-30,207500
2009-08-31,209200
2009-07-31,211000
2009-06-30,213000
2009-05-31,215300
2009-04-30,217300
2009-03-31,218900
2009-02-28,219800
2009-01-31,219300
2008-12-31,219700
2008-11-30,222900
2008-10-31,227200
2008-09-30,230500
2008-08-31,233800
2008-07-31,238000
2008-06-30,243400
2008-05-31,248000
2008-04-30,250100
2008-03-31,250700
2008-02-29,251700
2008-01-31,253900
2007-12-31,257300
2007-11-30,260600
2007-10-31,263300
2007-09-30,266100
2007-08-31,268600
2007-07-31,269700
2007-06-30,269700
2007-05-31,270400
2007-04-30,271800
2007-03-31,272600
2007-02-28,272200
2007-01-31,272000
2006-12-31,273400
2006-11-30,276100
2006-10-31,279100
2006-09-30,282400
2006-08-31,286000
2006-07-31,288900
2006-06-30,290800
2006-05-31,291900
2006-04-30,291600
2006-03-31,290300
2006-02-28,289700
2006-01-31,290000
2005-12-31,289000
2005-11-30,285900
2005-10-31,281900
2005-09-30,277400
2005-08-31,272500
2005-07-31,268000
2005-06-30,263400
2005-05-31,258200
2005-04-30,253200
2005-03-31,248700
2005-02-28,244300
2005-01-31,239900
2004-12-31,235000
2004-11-30,229700
2004-10-31,224200
2004-09-30,218900
2004-08-31,213800
2004-07-31,209100
2004-06-30,204500
2004-05-31,200400
2004-04-30,197000
2004-03-31,194800
2004-02-29,193100
2004-01-31,191200
2003-12-31,189100
2003-11-30,186600
2003-10-31,183400
2003-09-30,180700
2003-08-31,178200
2003-07-31,175600
2003-06-30,173000
2003-05-31,170300
2003-04-30,167700
2003-03-31,165800
2003-02-28,164200
2003-01-31,162100
2002-12-31,159900
2002-11-30,158600
2002-10-31,157600
2002-09-30,156300
2002-08-31,155000
2002-07-31,153600
2002-06-30,152200
2002-05-31,151100
2002-04-30,150700
2002-03-31,150500
2002-02-28,149900
2002-01-31,149000
2001-12-31,148200
2001-11-30,147400
2001-10-31,146900
2001-09-30,146600
2001-08-31,146100
2001-07-31,145300
2001-06-30,144800
2001-05-31,144300
2001-04-30,143700
2001-03-31,142800
2001-02-28,141800
2001-01-31,140700
2000-12-31,139500
2000-11-30,138600
2000-10-31,138100
2000-09-30,137500
2000-08-31,136500
2000-07-31,135800
2000-06-30,135200
2000-05-31,134700
2000-04-30,133800
2000-03-31,132200
2000-02-29,130700
2000-01-31,130200
1999-12-31,130500
1999-11-30,129800
1999-10-31,128300
1999-09-30,127200
1999-08-31,126600
1999-07-31,125900
1999-06-30,125400
1999-05-31,125100
1999-04-30,124500
1999-03-31,123800
1999-02-28,123100
1999-01-31,122500
1998-12-31,121600
1998-11-30,121000
1998-10-31,120600
1998-09-30,120600
1998-08-31,120500
1998-07-31,120500
1998-06-30,120500
1998-05-31,120500
1998-04-30,120400
1998-03-31,120300
1998-02-28,120000
1998-01-31,119300
1997-12-31,118700
1997-11-30,118500
1997-10-31,118200
1997-09-30,117800
1997-08-31,117600
1997-07-31,117300
1997-06-30,116800
1997-05-31,116200
1997-04-30,115800
1997-03-31,115800
1997-02-28,115500
1997-01-31,114700
1996-12-31,113900
1996-11-30,113500
1996-10-31,113100
1996-09-30,113000
1996-08-31,113000
1996-07-31,113000
1996-06-30,112800
1996-05-31,112500
1996-04-30,112400
