"Date","Value"
2016-05-31,207400
2016-03-31,205600
2016-02-29,204700
2016-01-31,204600
2015-12-31,202600
2015-11-30,201600
2015-10-31,201700
2015-09-30,198400
2015-08-31,199100
2015-07-31,193600
2015-06-30,197200
2015-05-31,198800
2015-04-30,205700
2015-03-31,207600
2015-02-28,205900
2015-01-31,205300
2014-12-31,203900
2014-11-30,201700
2014-10-31,199000
2014-09-30,196500
2014-08-31,194600
2014-07-31,192800
2014-06-30,190400
2014-05-31,187800
2014-04-30,182900
2014-03-31,179200
2014-02-28,177300
2014-01-31,176800
2013-12-31,176000
2013-11-30,176300
2013-10-31,176000
2013-09-30,176100
2013-08-31,176500
2013-07-31,176300
2013-06-30,174400
2013-05-31,172800
2013-04-30,172900
2013-03-31,172900
2013-02-28,171700
2013-01-31,170500
2012-12-31,169700
2012-11-30,169200
2012-10-31,168900
2012-09-30,168200
2012-08-31,167000
2012-07-31,165300
2012-06-30,163300
2012-05-31,161500
2012-04-30,160500
2012-03-31,160000
2012-02-29,160000
2012-01-31,160400
2011-12-31,160900
2011-11-30,161300
2011-10-31,161400
2011-09-30,161500
2011-08-31,161400
2011-07-31,161500
2011-06-30,161900
2011-05-31,162900
2011-04-30,164300
2011-03-31,165700
2011-02-28,166900
2011-01-31,168000
2010-12-31,168900
2010-11-30,169300
2010-10-31,169200
2010-09-30,169100
2010-08-31,169000
2010-07-31,169500
2010-06-30,171200
2010-05-31,172100
2010-04-30,171100
2010-03-31,169500
2010-02-28,168800
2010-01-31,168900
2009-12-31,169700
2009-11-30,170300
2009-10-31,171200
2009-09-30,172600
2009-08-31,173600
2009-07-31,174300
2009-06-30,174500
2009-05-31,174400
2009-04-30,176000
2009-03-31,178900
2009-02-28,182000
2009-01-31,183800
2008-12-31,184600
2008-11-30,186500
2008-10-31,190000
2008-09-30,193000
2008-08-31,196000
2008-07-31,201000
2008-06-30,207100
2008-05-31,212700
2008-04-30,216300
2008-03-31,219000
2008-02-29,221900
2008-01-31,224200
2007-12-31,226400
2007-11-30,228700
2007-10-31,230600
2007-09-30,232600
2007-08-31,235700
2007-07-31,238000
2007-06-30,239300
2007-05-31,240900
2007-04-30,243500
2007-03-31,246100
2007-02-28,247800
2007-01-31,249700
2006-12-31,252300
2006-11-30,254200
2006-10-31,256300
2006-09-30,259200
2006-08-31,261800
2006-07-31,263300
2006-06-30,264500
2006-05-31,265800
2006-04-30,266300
2006-03-31,265900
2006-02-28,265900
2006-01-31,265700
2005-12-31,264300
2005-11-30,262200
2005-10-31,259300
2005-09-30,255600
2005-08-31,251000
2005-07-31,246400
2005-06-30,242600
2005-05-31,239100
2005-04-30,234900
2005-03-31,229600
2005-02-28,224300
2005-01-31,219300
2004-12-31,214600
2004-11-30,210300
2004-10-31,206100
2004-09-30,201300
2004-08-31,196700
2004-07-31,192400
2004-06-30,188300
2004-05-31,184500
2004-04-30,181200
2004-03-31,178200
2004-02-29,175100
2004-01-31,171900
2003-12-31,168500
2003-11-30,165100
2003-10-31,162100
2003-09-30,159600
2003-08-31,156900
2003-07-31,154300
2003-06-30,151500
2003-05-31,149000
2003-04-30,147500
2003-03-31,146600
2003-02-28,145600
2003-01-31,144800
2002-12-31,143700
2002-11-30,142200
2002-10-31,140400
2002-09-30,138400
2002-08-31,136900
2002-07-31,136100
2002-06-30,135300
2002-05-31,133800
2002-04-30,132700
2002-03-31,131400
2002-02-28,129700
2002-01-31,128400
2001-12-31,127700
2001-11-30,127000
2001-10-31,126300
2001-09-30,126800
2001-08-31,127800
2001-07-31,127600
2001-06-30,126300
2001-05-31,125200
2001-04-30,124000
2001-03-31,123100
2001-02-28,122300
2001-01-31,121400
2000-12-31,120600
2000-11-30,120200
2000-10-31,119900
2000-09-30,119400
2000-08-31,118300
2000-07-31,117500
2000-06-30,117400
2000-05-31,117700
2000-04-30,117800
2000-03-31,117700
2000-02-29,116800
2000-01-31,116000
1999-12-31,116000
1999-11-30,116200
1999-10-31,115600
1999-09-30,114600
1999-08-31,113500
1999-07-31,111700
1999-06-30,110100
1999-05-31,109300
1999-04-30,109000
1999-03-31,108400
1999-02-28,107700
1999-01-31,106900
1998-12-31,106000
1998-11-30,105900
1998-10-31,106400
1998-09-30,106600
1998-08-31,107000
1998-07-31,107800
1998-06-30,107800
1998-05-31,107300
1998-04-30,107300
1998-03-31,108200
1998-02-28,108900
1998-01-31,109100
1997-12-31,108500
1997-11-30,107800
1997-10-31,106800
1997-09-30,105900
1997-08-31,104900
1997-07-31,104400
1997-06-30,104300
1997-05-31,103700
1997-04-30,102800
1997-03-31,102300
1997-02-28,102200
1997-01-31,102300
1996-12-31,102400
1996-11-30,102700
1996-10-31,103100
1996-09-30,103400
1996-08-31,103600
1996-07-31,104000
1996-06-30,105400
1996-05-31,106000
1996-04-30,105200
