"Date","Value"
2016-05-31,405200
2016-03-31,400200
2016-02-29,390200
2016-01-31,388100
2015-12-31,385400
2015-11-30,382900
2015-10-31,380200
2015-09-30,376400
2015-08-31,372900
2015-07-31,369300
2015-06-30,371100
2015-05-31,369300
2015-04-30,365500
2015-03-31,361500
2015-02-28,360900
2015-01-31,356800
2014-12-31,355300
2014-11-30,352800
2014-10-31,350400
2014-09-30,349000
2014-08-31,348000
2014-07-31,346800
2014-06-30,345900
2014-05-31,345200
2014-04-30,343700
2014-03-31,341200
2014-02-28,339100
2014-01-31,337800
2013-12-31,336100
2013-11-30,334300
2013-10-31,332600
2013-09-30,330500
2013-08-31,327300
2013-07-31,323000
2013-06-30,318300
2013-05-31,313900
2013-04-30,310700
2013-03-31,307900
2013-02-28,304900
2013-01-31,302000
2012-12-31,299400
2012-11-30,296600
2012-10-31,293900
2012-09-30,291400
2012-08-31,289200
2012-07-31,287100
2012-06-30,285000
2012-05-31,282200
2012-04-30,279200
2012-03-31,276700
2012-02-29,274800
2012-01-31,273800
2011-12-31,273800
2011-11-30,274400
2011-10-31,275100
2011-09-30,276100
2011-08-31,277400
2011-07-31,279300
2011-06-30,281400
2011-05-31,283900
2011-04-30,286300
2011-03-31,289100
2011-02-28,292400
2011-01-31,295300
2010-12-31,297700
2010-11-30,299700
2010-10-31,301700
2010-09-30,304000
2010-08-31,307300
2010-07-31,310600
2010-06-30,313000
2010-05-31,314700
2010-04-30,316200
2010-03-31,317500
2010-02-28,318700
2010-01-31,319700
2009-12-31,320400
2009-11-30,321000
2009-10-31,321400
2009-09-30,321800
2009-08-31,322600
2009-07-31,324400
2009-06-30,327000
2009-05-31,330200
2009-04-30,333900
2009-03-31,338200
2009-02-28,342100
2009-01-31,345200
2008-12-31,348200
2008-11-30,351900
2008-10-31,356100
2008-09-30,360100
2008-08-31,363000
2008-07-31,365700
2008-06-30,369000
2008-05-31,372600
2008-04-30,375400
2008-03-31,378100
2008-02-29,381100
2008-01-31,384300
2007-12-31,387300
2007-11-30,390000
2007-10-31,392800
2007-09-30,394800
2007-08-31,395800
2007-07-31,396000
2007-06-30,395800
2007-05-31,395300
2007-04-30,394800
2007-03-31,393900
2007-02-28,392300
2007-01-31,390400
2006-12-31,388900
2006-11-30,387200
2006-10-31,385200
2006-09-30,382800
2006-08-31,380100
2006-07-31,377200
2006-06-30,373900
2006-05-31,370200
2006-04-30,366300
2006-03-31,362100
2006-02-28,357700
2006-01-31,353300
2005-12-31,348900
2005-11-30,344300
2005-10-31,339200
2005-09-30,334200
2005-08-31,329300
2005-07-31,324400
2005-06-30,319300
2005-05-31,314500
2005-04-30,310000
2005-03-31,305400
2005-02-28,301300
2005-01-31,297800
2004-12-31,294300
2004-11-30,290700
2004-10-31,287100
2004-09-30,283800
2004-08-31,281000
2004-07-31,278300
2004-06-30,275600
2004-05-31,272800
2004-04-30,270100
2004-03-31,267700
2004-02-29,265600
2004-01-31,263400
2003-12-31,261400
2003-11-30,259600
2003-10-31,258000
2003-09-30,256500
2003-08-31,255100
2003-07-31,253600
2003-06-30,252300
2003-05-31,251300
2003-04-30,250300
2003-03-31,249100
2003-02-28,247600
2003-01-31,246200
2002-12-31,244900
2002-11-30,243700
2002-10-31,242500
2002-09-30,241300
2002-08-31,240200
2002-07-31,239300
2002-06-30,238600
2002-05-31,237700
2002-04-30,236900
2002-03-31,236400
2002-02-28,235700
2002-01-31,234900
2001-12-31,234000
2001-11-30,233100
2001-10-31,232200
2001-09-30,231600
2001-08-31,230800
2001-07-31,229900
2001-06-30,229000
2001-05-31,228200
2001-04-30,227200
2001-03-31,226000
2001-02-28,224900
2001-01-31,223800
2000-12-31,222700
2000-11-30,221800
2000-10-31,221100
2000-09-30,220400
2000-08-31,219400
2000-07-31,218200
2000-06-30,217000
2000-05-31,215800
2000-04-30,214800
2000-03-31,213900
2000-02-29,212800
2000-01-31,211500
1999-12-31,210000
1999-11-30,208400
1999-10-31,206700
1999-09-30,204900
1999-08-31,203400
1999-07-31,202200
1999-06-30,200900
1999-05-31,199300
1999-04-30,197700
1999-03-31,196000
1999-02-28,194500
1999-01-31,193100
1998-12-31,191600
1998-11-30,190400
1998-10-31,189500
1998-09-30,188300
1998-08-31,187000
1998-07-31,185700
1998-06-30,184000
1998-05-31,182400
1998-04-30,181100
1998-03-31,179700
1998-02-28,178100
1998-01-31,176700
1997-12-31,175400
1997-11-30,174100
1997-10-31,172700
1997-09-30,171500
1997-08-31,170000
1997-07-31,168500
1997-06-30,167200
1997-05-31,166100
1997-04-30,165000
1997-03-31,163800
1997-02-28,162500
1997-01-31,161400
1996-12-31,160400
1996-11-30,159400
1996-10-31,158600
1996-09-30,158100
1996-08-31,158000
1996-07-31,158000
1996-06-30,158200
1996-05-31,158400
1996-04-30,158600
