"Date","Value"
2016-05-31,286700
2016-03-31,282700
2016-02-29,280300
2016-01-31,277200
2015-12-31,274700
2015-11-30,271200
2015-10-31,268300
2015-09-30,265500
2015-08-31,264300
2015-07-31,260400
2015-06-30,259100
2015-05-31,256600
2015-04-30,255700
2015-03-31,254900
2015-02-28,252300
2015-01-31,251900
2014-12-31,250200
2014-11-30,247700
2014-10-31,245300
2014-09-30,244000
2014-08-31,242400
2014-07-31,239500
2014-06-30,235600
2014-05-31,232100
2014-04-30,229000
2014-03-31,226300
2014-02-28,224400
2014-01-31,223800
2013-12-31,222100
2013-11-30,218100
2013-10-31,212800
2013-09-30,207900
2013-08-31,202600
2013-07-31,196700
2013-06-30,191400
2013-05-31,186700
2013-04-30,182200
2013-03-31,178100
2013-02-28,175200
2013-01-31,172900
2012-12-31,171000
2012-11-30,168700
2012-10-31,166300
2012-09-30,163700
2012-08-31,161500
2012-07-31,159900
2012-06-30,158000
2012-05-31,155800
2012-04-30,154000
2012-03-31,152900
2012-02-29,152200
2012-01-31,152100
2011-12-31,152300
2011-11-30,152700
2011-10-31,153100
2011-09-30,153400
2011-08-31,153800
2011-07-31,154700
2011-06-30,156200
2011-05-31,157800
2011-04-30,159700
2011-03-31,161600
2011-02-28,163300
2011-01-31,165000
2010-12-31,166400
2010-11-30,167300
2010-10-31,167700
2010-09-30,168200
2010-08-31,168800
2010-07-31,169300
2010-06-30,169400
2010-05-31,169500
2010-04-30,169800
2010-03-31,169600
2010-02-28,169200
2010-01-31,169200
2009-12-31,169600
2009-11-30,170200
2009-10-31,171200
2009-09-30,172800
2009-08-31,174800
2009-07-31,177800
2009-06-30,182300
2009-05-31,187100
2009-04-30,190800
2009-03-31,193900
2009-02-28,197000
2009-01-31,197600
2008-12-31,198600
2008-11-30,203500
2008-10-31,211700
2008-09-30,220000
2008-08-31,229000
2008-07-31,238300
2008-06-30,248400
2008-05-31,259300
2008-04-30,270700
2008-03-31,283000
2008-02-29,294800
2008-01-31,305400
2007-12-31,315100
2007-11-30,324100
2007-10-31,331600
2007-09-30,338600
2007-08-31,345000
2007-07-31,350700
2007-06-30,355600
2007-05-31,359800
2007-04-30,364100
2007-03-31,368300
2007-02-28,372600
2007-01-31,378400
2006-12-31,385300
2006-11-30,390400
2006-10-31,394500
2006-09-30,399800
2006-08-31,405500
2006-07-31,410700
2006-06-30,414400
2006-05-31,416600
2006-04-30,418100
2006-03-31,419000
2006-02-28,419300
2006-01-31,419900
2005-12-31,420000
2005-11-30,418300
2005-10-31,414800
2005-09-30,410200
2005-08-31,403500
2005-07-31,395200
2005-06-30,385700
2005-05-31,376100
2005-04-30,366500
2005-03-31,357300
2005-02-28,349500
2005-01-31,343500
2004-12-31,337200
2004-11-30,330100
2004-10-31,322500
2004-09-30,314700
2004-08-31,306700
2004-07-31,298800
2004-06-30,291000
2004-05-31,284400
2004-04-30,279000
2004-03-31,274400
2004-02-29,270700
2004-01-31,267300
2003-12-31,263700
2003-11-30,260100
2003-10-31,256600
2003-09-30,253000
2003-08-31,249800
2003-07-31,247200
2003-06-30,245300
2003-05-31,242900
2003-04-30,239900
2003-03-31,236900
2003-02-28,234100
2003-01-31,230500
2002-12-31,226900
2002-11-30,224000
2002-10-31,221200
2002-09-30,218500
2002-08-31,216500
2002-07-31,214900
2002-06-30,213800
2002-05-31,213100
2002-04-30,212800
2002-03-31,212500
2002-02-28,212200
2002-01-31,211600
2001-12-31,210700
2001-11-30,209400
2001-10-31,207800
2001-09-30,206100
2001-08-31,204500
2001-07-31,202700
2001-06-30,2e+05
2001-05-31,196700
2001-04-30,193300
2001-03-31,189500
2001-02-28,184800
2001-01-31,180200
2000-12-31,176400
2000-11-30,172800
2000-10-31,169200
2000-09-30,166100
2000-08-31,163200
2000-07-31,160700
2000-06-30,158700
2000-05-31,156900
2000-04-30,155300
2000-03-31,153700
2000-02-29,151800
2000-01-31,149600
1999-12-31,147800
1999-11-30,146700
1999-10-31,146100
1999-09-30,145800
1999-08-31,145000
1999-07-31,143200
1999-06-30,141300
1999-05-31,140300
1999-04-30,139400
1999-03-31,138100
1999-02-28,137000
1999-01-31,136300
1998-12-31,135800
1998-11-30,135400
1998-10-31,134900
1998-09-30,134400
1998-08-31,133700
1998-07-31,133200
1998-06-30,132600
1998-05-31,132200
1998-04-30,131900
1998-03-31,131500
1998-02-28,130700
1998-01-31,129800
1997-12-31,129100
1997-11-30,128200
1997-10-31,127400
1997-09-30,126900
1997-08-31,126700
1997-07-31,126500
1997-06-30,126500
1997-05-31,126300
1997-04-30,126000
1997-03-31,125600
1997-02-28,125100
1997-01-31,124900
1996-12-31,124900
1996-11-30,124900
1996-10-31,124900
1996-09-30,124900
1996-08-31,125400
1996-07-31,125700
1996-06-30,126000
1996-05-31,126200
1996-04-30,126100
